,340_VFD_010\Current,355_ZI_040,815_PT_110A,BE_Machine_Speed_FB,SQ_Per_Hour_Shift2,ST325M030\SpeedFB,ST330M010\SpeedFB,ST340M022\AI3,VFD165_OL_Trim,VFD165_SW_Current
5562,53.7109,82.0,96.0172,840.21,637.886,69.8853,689.209,190.942,-1.08219,37.1039
5563,53.5156,83.0,94.8081,840.21,640.045,69.8242,689.148,183.13,-1.30922,38.0527
5564,53.7109,83.0,95.4323,840.2710000000001,640.045,69.9463,689.331,176.36700000000002,-1.36342,37.9349
5565,53.7109,84.0,95.0358,840.2710000000001,641.8919999999999,69.7021,689.209,187.13400000000001,-1.20298,37.8924
5566,53.5156,85.0,95.1967,840.393,641.8919999999999,69.9463,689.3919999999999,185.205,-1.6796900000000001,38.0125
5567,53.7109,85.0,95.3067,840.393,643.721,69.7632,689.453,183.667,-0.847158,37.5572
5568,53.9063,86.0,94.6196,840.393,643.721,70.0073,689.331,186.377,-1.79768,37.5297
5569,53.7109,87.0,94.973,840.1489999999999,640.622,69.8853,689.148,188.428,-1.34202,37.7642
5570,53.7109,87.0,94.9769,840.332,640.622,70.0684,689.453,182.324,-1.9922900000000001,37.8585
5571,53.7109,88.0,95.0554,840.21,642.727,70.0073,689.5139999999999,175.87900000000002,-1.73645,37.4649
5572,53.7109,88.0,96.1939,840.1489999999999,642.727,69.8853,689.27,187.646,-0.668697,37.6446
5573,53.7109,89.0,95.0593,840.2710000000001,644.525,69.9463,689.087,195.703,-1.36592,37.6092
5574,53.7109,90.0,94.7688,840.1489999999999,644.525,70.0073,688.904,182.495,-2.40442,37.5837
5575,53.7109,90.0,94.76100000000001,840.2710000000001,646.307,69.8853,689.27,184.229,-1.3346,37.7435
5576,53.7109,91.0,94.8316,840.454,646.307,69.7632,689.758,180.298,-1.22624,37.6073
5577,53.7109,92.0,95.6168,840.2710000000001,648.355,69.8853,689.6360000000001,186.304,-0.850017,37.9522
5578,53.9063,92.0,95.0986,840.332,648.355,69.8242,689.575,176.36700000000002,-1.76273,37.9592
5579,53.7109,93.0,95.2831,840.454,650.102,69.9463,689.575,185.083,-1.50641,37.7132
5580,53.5156,93.0,94.8434,840.21,650.102,69.8242,689.27,191.479,-1.2689,37.812
5581,53.7109,94.0,94.2506,840.2710000000001,651.832,69.9463,689.3919999999999,185.01,-1.04047,38.0456
5582,53.5156,94.0,94.7178,840.2710000000001,651.832,69.7632,689.6360000000001,181.90900000000002,-1.8066,37.68
5583,53.7109,95.0,95.5697,840.2710000000001,653.826,70.1294,689.3919999999999,185.986,-1.3825100000000001,38.0555
5584,53.5156,96.0,96.1115,840.332,653.826,70.0073,689.27,189.84400000000002,-1.58067,38.0088
5585,53.7109,96.0,94.5961,840.2710000000001,655.523,69.8853,688.965,183.252,-1.6606900000000002,38.6789
5586,53.5156,97.0,94.4273,840.393,655.523,70.0073,689.27,190.503,-1.85182,38.8333
5587,53.5156,97.0,94.2153,840.21,657.205,70.1294,689.331,191.65,-1.43159,38.833
5588,53.5156,97.0,94.76100000000001,840.332,657.205,69.8853,689.5139999999999,184.351,-1.88475,39.0252
5589,53.7109,98.0,95.0672,840.21,659.1469999999999,69.8853,689.453,176.294,-1.6785700000000001,38.9449
5590,53.5156,98.0,95.4598,840.21,659.1469999999999,69.8853,689.575,182.373,-1.16944,38.8414
5591,53.7109,99.0,95.8877,840.0269999999999,660.796,69.8853,689.087,190.308,-0.9808049999999999,38.7812
5592,53.3203,95.0,95.8955,840.0880000000001,660.796,69.9463,689.331,188.50099999999998,-2.2433799999999997,43.9698
5593,53.5156,93.0,95.4951,840.21,662.431,69.8853,689.453,189.209,-1.0668799999999998,38.3048
5594,53.7109,94.0,95.7738,840.454,662.431,70.0073,689.6360000000001,187.354,-1.2108700000000001,38.2485
5595,53.7109,94.0,95.3773,840.393,664.322,69.9463,689.27,186.62099999999998,-1.60794,38.461999999999996
5596,53.7109,95.0,95.2635,840.515,664.322,69.8853,689.6360000000001,177.808,-2.0171900000000003,38.4416
5597,53.7109,95.0,95.66,840.332,665.926,69.9463,689.27,186.108,-2.0758900000000002,38.3656
5598,53.7109,96.0,96.1232,840.21,665.926,69.9463,689.27,192.505,-1.93534,38.531
5599,53.7109,96.0,95.7228,840.393,667.5160000000001,69.9463,689.5139999999999,186.255,-1.95465,37.8525
5600,53.5156,97.0,95.554,840.2710000000001,667.5160000000001,69.8242,689.453,189.673,-1.31116,37.8823
5601,53.5156,98.0,94.8316,840.2710000000001,669.3589999999999,70.0684,689.5139999999999,180.933,-1.05873,37.7833
5602,53.7109,95.0,96.2646,840.1489999999999,669.3589999999999,69.8242,688.965,186.255,-2.86821,43.8441
5603,53.7109,92.0,94.0425,840.21,670.919,70.0073,689.087,173.218,-1.54415,37.4215
5604,53.7109,92.0,95.87200000000001,840.0880000000001,670.919,69.8853,689.3919999999999,186.84099999999998,-1.36719,37.5511
5605,53.7109,93.0,95.5501,840.0269999999999,672.466,70.0073,689.087,191.528,-1.94212,37.9115
5606,53.7109,94.0,95.6482,840.332,672.466,69.8242,689.453,188.696,-1.7876900000000002,38.0598
5607,53.5156,94.0,96.5551,840.393,674.263,69.9463,689.3919999999999,177.148,-2.05861,37.914
5608,53.5156,95.0,95.8013,840.515,674.263,69.9463,689.697,183.081,-2.20479,37.8443
5609,53.5156,95.0,96.1272,840.0880000000001,671.302,69.8853,689.5139999999999,185.449,-1.40725,37.8811
5610,53.7109,96.0,96.0133,840.1489999999999,671.302,69.9463,689.453,183.00799999999998,-1.71842,37.9553
5611,53.5156,97.0,95.1418,840.1489999999999,668.367,69.8242,689.27,180.64,-1.9602099999999998,38.5503
5612,53.7109,97.0,95.6757,840.332,668.367,70.0073,689.575,190.942,-1.6460400000000002,38.6302
5613,53.7109,97.0,95.5265,840.393,669.898,69.7632,689.209,194.678,-1.64153,38.5632
5614,53.7109,98.0,95.181,840.1489999999999,669.898,70.0073,689.209,178.687,-2.42377,38.6117
5615,53.5156,98.0,95.6875,840.1489999999999,676.096,69.8242,689.148,183.472,-2.02336,38.6163
5616,53.7109,99.0,95.5501,840.2710000000001,676.096,70.0073,689.087,179.077,-1.70395,38.7733
5617,53.7109,99.0,95.2478,840.1489999999999,677.58,69.8242,689.331,181.61599999999999,-1.73721,38.6422
5618,53.5156,100.0,95.079,840.393,677.58,70.0684,689.5139999999999,181.274,-1.7709400000000002,38.6337
5619,53.5156,100.0,95.4166,840.332,679.051,69.8853,689.6360000000001,189.84400000000002,-2.37387,38.5785
5620,53.5156,101.0,94.7884,840.0880000000001,679.051,70.0073,689.453,188.574,-1.94392,38.662
5621,53.7109,101.0,95.7071,840.0880000000001,680.5089999999999,69.8853,689.697,178.19799999999998,-1.83614,38.5954
5622,53.5156,102.0,95.5618,840.393,680.5089999999999,69.9463,689.453,186.304,-1.3441,38.5432
5623,53.5156,102.0,95.34200000000001,840.2710000000001,682.211,69.8853,689.331,189.96599999999998,-1.03649,38.5729
5624,53.7109,103.0,95.4598,840.515,682.211,69.8242,689.331,188.989,-1.91093,38.5388
5625,53.5156,103.0,95.0515,840.0269999999999,683.6439999999999,69.9463,689.3919999999999,178.955,-2.04262,38.6536
