CO_BATCH_NUMBER,Batch_final_yield,Yield_O_OMNI_FIRST_DISTAL,Yield_O_OMNI_FILAR_WRAPPING,Yield_O_OMNI_PAM_APPLICATION,Yield_O_OMNI_PAM_INSPECTION,Yield_O_OMNI_MECHANICAL_CON,Yield_O_OMNI_ELECTRICAL_CON,Yield_O_OMNI_INS_GAP_FILLING,Yield_O_OMNI_DISPENSER_COIL,Yield_O_OMNI_SMARTCALELITE_TEST_FG,Yield_O_OMNI_DRIFTELITE_TEST_FG,Yield_O_OMNI_OFFSET_TEST,Yield_O_OMNI_MASKING,Yield_O_OMNI_HYDROPHILIC_COATING,Yield_O_OMNI_UNMASKING,Yield_O_OMNI_FINAL_INSP,Yield_O_OMNI_TRAYPREP_ FINAL_TEST,Yield_O_UNILABEL_PRINTING,Yield_O_POUCHING,Yield_O_SECOND_VERIFICATION_PACKAGING
1129221437,0.6032858707557502,1.0,0.9879518072289156,1.0,0.9878048780487805,0.9629629629629629,0.9358974358974359,1.0,1.0,0.8356164383561644,0.9344262295081968,1.0,1.0,1.0,1.0,0.9824561403508771,0.9107142857142857,0.9818181818181818,1.0,1.0
1129222330,0.6720095693779905,1.0,0.9868421052631579,1.0,0.9333333333333333,1.0,0.9285714285714286,1.0,1.0,0.9538461538461539,0.9193548387096774,1.0,1.0,1.0,1.0,0.9649122807017544,0.9636363636363636,1.0,1.0,0.9636363636363636
1129222336,0.4652676826509294,1.0,1.0,1.0,0.9210526315789473,0.9577464788732394,0.9117647058823529,1.0,1.0,0.8387096774193549,0.9423076923076923,0.9795918367346939,1.0,1.0,1.0,0.9791666666666666,0.8723404255319149,1.0,0.9387755102040817,0.9318181818181818
1129222342,0.5697529034898325,1.0,0.9894736842105263,1.0,0.9680851063829787,0.9560439560439561,0.9885057471264368,1.0,1.0,0.8837209302325582,0.9473684210526315,0.9861111111111112,1.0,1.0,1.0,0.9577464788732394,0.9705882352941176,0.9743589743589743,0.9367088607594937,0.8985507246376812
1130220756,0.6214204375187292,1.0,0.9859154929577465,0.9857142857142858,0.9130434782608695,1.0,1.0,0.9841269841269841,1.0,0.8709677419354839,0.9444444444444444,1.0,0.9803921568627451,1.0,1.0,0.98,0.9387755102040817,0.98,1.0,0.9787234042553191
1130220807,0.5714285714285714,1.0,0.9821428571428571,0.9818181818181818,0.9259259259259259,0.98,0.9591836734693877,1.0,1.0,0.8936170212765957,0.8095238095238095,1.0,1.0,1.0,1.0,0.9705882352941176,0.9696969696969697,1.0,1.0,1.0
1130220813,0.5496216051541944,1.0,1.0,0.9878048780487805,0.9876543209876543,1.0,0.9135802469135802,1.0,1.0,0.8918918918918919,0.8939393939393939,0.9830508474576272,1.0,1.0,1.0,0.896551724137931,0.9615384615384616,1.0,0.9491525423728814,0.9615384615384616
1130221115,0.5411192665514855,1.0,0.9662921348314607,0.9883720930232558,0.9882352941176471,0.9761904761904762,0.9390243902439024,0.987012987012987,1.0,0.8289473684210527,0.8888888888888888,1.0,0.9821428571428571,1.0,1.0,0.9454545454545454,0.9615384615384616,1.0,0.9824561403508771,0.9803921568627451
1130221117,0.7102182396300044,1.0,1.0,1.0,0.9882352941176471,0.9642857142857143,0.9506172839506173,1.0,0.987012987012987,0.9736842105263158,0.9594594594594594,0.9859154929577465,0.9714285714285714,1.0,1.0,1.0,0.9558823529411765,0.9864864864864865,0.9863013698630136,0.9545454545454546
1130221119,0.6087478559176673,1.0,0.9811320754716981,1.0,1.0,0.9807692307692307,0.9607843137254902,1.0,1.0,0.8775510204081632,0.9767441860465116,1.0,1.0,1.0,1.0,0.9761904761904762,0.9512195121951219,1.0,0.9333333333333333,0.8863636363636364
1130221151,0.5117427772600187,1.0,0.9655172413793104,1.0,0.9642857142857143,0.9629629629629629,0.9230769230769231,0.9583333333333334,1.0,0.9347826086956522,0.8372093023255814,1.0,1.0,1.0,1.0,0.9444444444444444,1.0,1.0,0.95,0.918918918918919
1130221153,0.6766917293233082,1.0,0.9795918367346939,1.0,0.9583333333333334,1.0,1.0,1.0,1.0,0.9347826086956522,0.8837209302325582,1.0,1.0,1.0,0.9736842105263158,0.9459459459459459,1.0,1.0,0.9473684210526315,1.0
1130221155,0.5181664502535708,1.0,0.9861111111111112,1.0,0.971830985915493,0.9565217391304348,0.9545454545454546,1.0,1.0,0.9047619047619048,0.9298245614035088,0.9433962264150944,1.0,1.0,0.98,1.0,0.9183673469387755,0.9795918367346939,0.9591836734693877,0.8823529411764706
1201220001,0.5770639616793465,0.9619047619047619,0.9702970297029703,0.9897959183673469,0.9587628865979382,0.967741935483871,0.9120879120879121,1.0,1.0,0.9036144578313253,0.96,1.0,0.9861111111111112,1.0,0.9859154929577465,0.9571428571428572,0.9552238805970149,0.9722222222222222,1.0,0.9846153846153847
1201220002,0.479915611814346,1.0,0.9746835443037974,1.0,0.987012987012987,0.9736842105263158,0.9594594594594594,0.9859154929577465,1.0,0.8857142857142857,0.8709677419354839,1.0,1.0,1.0,0.9814814814814815,0.9622641509433962,0.8627450980392157,0.94,1.0,0.9166666666666666
1201220003,0.48863636363636365,1.0,0.9714285714285714,1.0,0.9411764705882353,1.0,0.9375,1.0,1.0,0.8666666666666667,0.8846153846153846,1.0,0.9130434782608695,1.0,1.0,0.8571428571428571,1.0,1.0,0.9772727272727273,0.9722222222222222
1201220004,0.4958863076785692,1.0,0.9770114942528736,1.0,0.8941176470588236,0.9605263157894737,0.9333333333333333,1.0,1.0,0.9142857142857143,0.90625,0.9827586206896551,1.0,1.0,1.0,0.8947368421052632,0.9411764705882353,1.0,0.9811320754716981,0.9411764705882353
1201220005,0.5133500957854407,1.0,0.9655172413793104,1.0,0.9642857142857143,1.0,0.9629629629629629,0.9807692307692307,1.0,0.8431372549019608,0.9534883720930233,1.0,0.975609756097561,1.0,0.975,0.9487179487179487,0.9459459459459459,0.9722222222222222,1.0,0.875
1201220006,0.5129282482223658,1.0,0.8588235294117647,1.0,0.9452054794520548,0.9,0.8888888888888888,1.0,1.0,0.9464285714285714,0.9433962264150944,1.0,1.0,1.0,1.0,0.96,0.9583333333333334,0.9807692307692307,0.9803921568627451,1.0
1201220007,0.5887405841152372,1.0,1.0,1.0,0.9574468085106383,0.9782608695652174,0.9555555555555556,1.0,1.0,0.9069767441860465,1.0,1.0,0.9743589743589743,1.0,0.9736842105263158,0.9459459459459459,0.9428571428571428,0.9090909090909091,1.0,0.9428571428571428
1201220008,0.5347517730496454,1.0,0.9787234042553191,1.0,0.9130434782608695,1.0,0.9523809523809523,1.0,0.975,0.8974358974358975,0.9428571428571428,0.9696969696969697,1.0,1.0,0.9375,0.9666666666666667,0.9655172413793104,0.9666666666666667,1.0,0.9285714285714286
1201220009,0.5555555555555554,1.0,0.9629629629629629,1.0,0.9038461538461539,1.0,0.9361702127659575,1.0,0.9772727272727273,0.9302325581395349,0.95,1.0,0.9473684210526315,1.0,0.9166666666666666,0.9090909090909091,1.0,1.0,1.0,1.0
1201220010,0.5053539619121472,1.0,0.8846153846153846,1.0,0.9347826086956522,0.9545454545454546,0.8888888888888888,1.0,1.0,0.95,0.9743589743589743,1.0,1.0,1.0,0.9736842105263158,1.0,0.918918918918919,1.0,0.9487179487179487,0.9166666666666666
1201220115,0.6369415034791428,1.0,1.0,1.0,0.9878048780487805,0.963855421686747,0.9012345679012346,1.0,1.0,0.9315068493150684,0.9264705882352942,0.9682539682539683,1.0,1.0,1.0,0.9836065573770492,0.95,0.9846153846153847,1.0,0.9655172413793104
1201220614,0.6352941176470586,1.0,1.0,1.0,0.9705882352941176,1.0,0.9545454545454546,1.0,0.9841269841269841,0.8709677419354839,0.9629629629629629,0.9807692307692307,1.0,1.0,1.0,0.9803921568627451,0.9,0.98,0.9795918367346939,1.0
1201220622,0.5263157894736842,1.0,0.9814814814814815,1.0,0.9433962264150944,0.94,0.9574468085106383,1.0,1.0,0.9777777777777777,0.8863636363636364,1.0,1.0,1.0,1.0,0.9743589743589743,0.9473684210526315,0.9473684210526315,1.0,0.8333333333333334
1201220740,0.6425375253549696,1.0,0.9885057471264368,0.9883720930232558,1.0,0.9882352941176471,0.9176470588235294,0.95,0.9868421052631579,0.8666666666666667,0.9538461538461539,1.0,1.0,1.0,1.0,0.9838709677419355,0.9672131147540983,1.0,1.0,0.9833333333333333
1201220745,0.5853479853479852,1.0,0.9615384615384616,1.0,0.96,0.9861111111111112,0.971830985915493,0.9855072463768116,0.9571428571428572,0.9253731343283582,0.8548387096774194,0.9811320754716981,0.9807692307692307,1.0,1.0,0.9607843137254902,0.9795918367346939,1.0,1.0,0.9791666666666666
1201220748,0.5870975082489476,1.0,0.9852941176470589,0.9850746268656716,0.9848484848484849,0.9692307692307692,0.9682539682539683,0.9836065573770492,1.0,0.9,0.8888888888888888,1.0,1.0,1.0,1.0,0.9787234042553191,0.9347826086956522,0.9772727272727273,1.0,0.9302325581395349
1201220752,0.686794389326035,1.0,1.0,1.0,0.9746835443037974,0.987012987012987,0.9605263157894737,0.972972972972973,1.0,0.9166666666666666,0.9090909090909091,0.9833333333333333,0.9830508474576272,1.0,1.0,1.0,0.9827586206896551,1.0,1.0,0.9649122807017544
1201220758,0.5909090909090909,1.0,1.0,1.0,1.0,1.0,0.9545454545454546,1.0,1.0,0.8571428571428571,0.8333333333333334,1.0,1.0,1.0,1.0,0.9333333333333333,0.9285714285714286,1.0,1.0,1.0
1201220800,0.5909090909090909,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9090909090909091,0.85,1.0,1.0,1.0,1.0,0.8235294117647058,0.9285714285714286,1.0,1.0,1.0
